City,Country,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Ust-Tsilma,RU,56.37,65.44,52.15,70,100,8.72
Hithadhoo,MV,84.85,-0.6,73.08,70,85,6.91
Busselton,AU,55.2,-33.65,115.33,82,75,17.52
Margate,GB,65.66,51.38,1.39,64,93,3.0
Rondonópolis,BR,89.49,-16.47,-54.64,29,11,7.7
Nanga Eboko,CM,75.96,4.68,12.37,85,68,3.18
Tigil',RU,54.91,57.8,158.67,96,99,6.22
Pisco,PE,59.0,-13.7,-76.22,93,90,8.05
Chimbote,PE,64.54,-9.09,-78.58,80,73,8.41
Clyde River,CA,52.48,70.47,-68.59,64,100,6.71
Dikson,RU,40.64,73.51,80.55,92,100,12.88
Sitka,US,53.6,57.05,-135.33,87,90,5.82
Djibouti,DJ,111.2,11.5,42.5,14,1,10.29
Klaksvík,FO,51.8,62.23,-6.59,93,75,14.99
Arman',RU,52.2,59.7,150.17,93,8,3.13
Rikitea,PF,73.54,-23.12,-134.97,86,100,12.08
Hermanus,ZA,64.0,-34.42,19.23,44,0,5.01
Lac du Bonnet,CA,64.99,50.25,-96.06,99,70,11.01
Cururupu,BR,86.7,-1.83,-44.87,60,0,7.14
Ust-Maya,RU,63.79,60.42,134.53,63,20,4.38
Chui,UY,46.38,-33.7,-53.46,58,0,3.69
Mataura,NZ,39.0,-46.19,168.86,83,24,3.0
Punta Arenas,CL,30.09,-53.15,-70.92,86,40,5.82
Saint George,US,74.79,37.1,-113.58,23,1,9.17
Kapaa,US,74.12,22.08,-159.32,88,90,8.05
Kahului,US,75.38,20.89,-156.47,69,1,10.29
Ushuaia,AR,26.6,-54.8,-68.3,92,40,6.93
Hobart,AU,44.89,-42.88,147.33,81,90,3.36
Qaanaaq,GL,40.84,77.48,-69.36,83,100,10.42
Cape Town,ZA,61.88,-33.93,18.42,33,0,5.82
Augusto Corrêa,BR,85.39,-1.02,-46.63,68,6,6.96
Arraial do Cabo,BR,68.0,-22.97,-42.03,77,75,5.82
Hualmay,PE,64.13,-11.1,-77.61,75,58,9.31
Kupang,ID,75.06,-10.17,123.58,76,71,13.69
Yangi Marg`ilon,UZ,95.0,40.43,71.72,20,100,6.93
Bengkulu,ID,78.91,-3.8,102.27,80,100,3.85
Makakilo City,US,73.38,21.35,-158.09,88,1,6.93
Namtsy,RU,66.2,62.72,129.67,72,30,4.47
Fortuna,US,51.19,40.6,-124.16,100,1,3.36
Verkhoyansk,RU,57.22,67.54,133.38,56,0,5.3
Petropavlovsk-Kamchatskiy,RU,51.8,53.05,158.65,100,90,2.24
Farsund,NO,61.02,58.09,6.8,77,8,15.99
Yakeshi,CN,65.21,49.28,120.73,89,100,6.4
Devonport,AU,39.72,-41.17,146.35,82,100,8.01
Krasne,UA,75.2,49.91,24.61,38,22,4.47
Bud,US,75.6,39.45,-86.18,69,1,3.36
Tuktoyaktuk,CA,48.2,69.45,-133.04,81,75,9.17
Leningradskiy,RU,39.72,69.38,178.42,90,99,8.48
Lakatoro,VU,75.51,-16.1,167.42,75,16,3.58
