City,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Östersund,44.6,63.18,14.64,93,77,3.36
Kīhei,79.61,20.79,-156.47,45,40,25.28
Panguna,78.71,-6.32,155.48,78,81,1.32
George Town,83.05,5.41,100.34,83,40,4.7
Ushuaia,32.0,-54.8,-68.3,92,40,17.22
Vaini,75.2,-21.2,-175.2,69,40,9.17
Marzuq,78.62,14.4,46.47,62,36,8.63
Puerto Ayora,66.99,-0.74,-90.35,92,23,6.85
Busselton,55.26,-33.65,115.33,62,21,16.58
Airai,70.05,-8.93,125.41,58,29,5.59
Hilo,75.61,19.73,-155.09,58,90,6.93
Rincon,79.72,32.3,-81.24,70,40,4.81
Neiafu,77.0,-18.65,-173.98,78,75,9.17
Karratha,79.81,-20.74,116.85,25,0,14.72
Lexington,72.46,37.99,-84.48,56,1,5.14
Goderich,64.33,43.75,-81.72,84,0,2.91
Nome,56.37,64.5,-165.41,66,1,20.8
Mataura,46.67,-46.19,168.86,81,97,4.14
Kidal,87.06,18.44,1.41,40,41,14.58
São João da Barra,71.64,-21.64,-41.05,81,0,5.66
Cape Town,50.04,-33.93,18.42,66,75,10.29
Dikson,39.42,73.51,80.55,98,100,13.51
Upernavik,39.99,72.79,-56.15,89,99,19.71
Harper,75.33,4.38,-7.72,83,100,10.27
Rikitea,72.7,-23.12,-134.97,84,100,15.21
Albany,75.04,42.6,-73.97,65,12,6.64
Atuona,79.45,-9.8,-139.03,78,42,16.71
Talcahuano,46.4,-36.72,-73.12,87,3,9.17
Punta Arenas,33.39,-53.15,-70.92,86,98,4.32
Hermanus,48.99,-34.42,19.23,76,100,8.01
Santa Rosa,88.97,14.31,121.11,74,20,5.82
Sigli,84.25,5.38,95.96,65,66,1.39
Port Elizabeth,50.0,-33.92,25.57,81,40,32.21
Bengkulu,82.42,-3.8,102.27,69,100,3.89
Yellowknife,57.09,62.46,-114.35,100,90,18.34
Bayir,71.6,37.27,28.22,73,0,4.7
Cherskiy,66.99,68.75,161.3,44,100,7.27
Tuktoyaktuk,64.4,69.45,-133.04,52,75,8.05
Hasaki,74.98,35.73,140.83,88,75,6.93
Naduvattam,57.76,11.48,76.57,100,100,2.48
Marsh Harbour,83.73,26.54,-77.06,76,100,9.26
Tautira,77.0,-17.73,-149.15,88,75,12.75
Bluff,48.67,-46.6,168.33,74,81,13.22
Vostok,70.41,46.49,135.88,88,71,2.28
Bilibino,66.09,68.05,166.44,50,100,7.23
Severo-Kuril'sk,51.78,50.68,156.12,84,94,2.95
Inhambane,59.74,-23.86,35.38,70,0,10.16
Yar-Sale,56.16,66.83,70.83,57,52,19.26
Castro,60.24,-24.79,-50.01,93,5,5.5
Ponta do Sol,65.12,32.67,-17.1,82,20,3.36
Chui,36.99,-33.7,-53.46,78,0,10.02
Schrems,44.65,48.78,15.07,86,95,3.74
Sabang,81.99,5.89,95.32,76,88,4.09
San Juan,39.33,-31.54,-68.54,72,0,0.22
Taksimo,81.54,56.34,114.88,43,95,1.86
Ostrovnoy,48.42,68.05,39.51,76,64,4.99
Arman',67.59,59.7,150.17,58,97,7.07
Pangnirtung,53.94,66.15,-65.71,55,100,3.15
Drummondville,69.01,45.88,-72.48,89,15,4.45
Erie,65.57,42.77,-78.67,83,40,3.36
Jaynagar,84.47,26.58,86.15,76,68,9.06
Nelson Bay,61.25,-32.72,152.15,82,75,24.16
Betsiamites,59.0,48.94,-68.65,93,90,9.17
Saint Paul Harbor,57.2,57.79,-152.41,76,90,10.29
Acatlán,55.24,20.15,-98.45,94,15,2.64
Sirsa,98.1,29.53,75.02,34,0,2.06
Deep River,68.0,46.1,-77.5,72,20,3.96
Coquimbo,50.0,-29.95,-71.34,93,5,3.33
Chokurdakh,67.68,70.63,147.92,30,48,15.48
Ribeira Grande,68.43,38.52,-28.7,80,11,10.02
Myitkyina,75.81,25.38,97.4,97,100,0.22
Churapcha,82.54,62.0,132.43,39,50,9.28
Paamiut,42.17,61.99,-49.67,88,0,7.2
Ouésso,68.92,1.61,16.05,95,100,2.91
Walvis Bay,47.59,-22.96,14.51,93,0,9.17
Barrow,37.4,71.29,-156.79,78,90,11.41
General Roca,35.6,-39.03,-67.58,80,45,2.24
Thompson,64.4,55.74,-97.86,88,75,4.7
Hirara,90.66,24.8,125.28,66,40,17.22
Damietta,77.0,31.42,31.81,83,1,6.93
Kapaa,80.62,22.08,-159.32,74,75,13.87
Ouadda,67.75,8.08,22.4,96,91,7.25
Tazovsky,45.55,67.47,78.7,85,100,19.22
Mikhaylovka,73.0,50.06,43.24,65,55,6.13
Rawson,37.4,-43.3,-65.1,75,0,16.15
Tefé,72.97,-3.35,-64.71,96,87,1.74
Mindelo,78.8,16.89,-24.98,88,40,9.53
Butaritari,80.64,3.07,172.79,78,99,9.33
Garden City,72.39,42.33,-83.33,64,20,3.36
Sørland,52.88,67.67,12.69,87,17,10.96
Salalah,80.6,17.02,54.09,94,90,9.17
Avarua,71.6,-21.21,-159.78,56,100,9.17
Kavaratti,83.17,10.57,72.64,77,100,9.1
Port Alfred,54.57,-33.59,26.89,49,8,28.7
Jamestown,65.66,42.1,-79.24,77,1,6.93
Talnakh,55.4,69.49,88.4,87,75,6.71
Houma,74.98,29.6,-90.72,94,1,3.36
Colesberg,36.46,-30.72,25.1,77,95,23.15
Ponta Delgada,66.2,37.73,-25.67,82,20,6.93
Longyearbyen,48.2,78.22,15.64,70,75,4.7
Sitka,55.4,57.05,-135.33,87,90,9.17
São Filipe,77.68,14.9,-24.5,84,32,3.24
Candelaria,88.83,13.93,121.42,60,100,5.12
Ipinda,65.21,-9.48,33.9,71,21,2.26
Cairns,76.66,-16.92,145.77,38,71,13.87
Eyl,79.77,7.98,49.82,58,100,21.05
Torbay,65.91,47.67,-52.73,93,75,12.75
Vanavara,78.93,60.34,102.28,44,14,4.74
Hobyo,76.98,5.35,48.53,77,37,20.83
Qaanaaq,42.33,77.48,-69.36,70,1,3.6
Bredasdorp,46.4,-34.53,20.04,93,99,13.87
Yulara,59.0,-25.24,130.99,33,0,11.41
Northam,57.99,51.03,-4.22,100,100,1.99
Zhuhai,90.75,22.28,113.57,66,20,6.93
Port Hardy,60.8,50.7,-127.42,77,20,9.17
Acapulco de Juárez,84.2,16.86,-99.89,79,5,2.24
Haines Junction,60.21,60.75,-137.51,42,100,7.74
Tasiilaq,44.6,65.61,-37.64,75,60,4.7
Ketchikan,59.7,55.34,-131.65,77,90,11.41
Sistranda,50.0,63.73,8.83,81,100,4.7
Lebu,47.46,-37.62,-73.65,76,2,1.86
Arrecife,71.6,28.96,-13.55,78,33,13.87
Baní,84.99,18.28,-70.33,81,24,3.0
Vila Velha,69.8,-20.33,-40.29,94,0,3.36
Samaná,79.65,19.21,-69.34,90,0,6.53
Khandyga,82.47,62.67,135.6,47,8,6.69
Beringovskiy,53.01,63.05,179.32,82,76,8.01
Hong Kong,89.89,22.29,114.16,66,25,5.99
Clyde River,46.4,70.47,-68.59,81,1,5.82
Jaciara,72.81,-15.97,-54.97,51,6,0.76
Mundo Nuevo (Ojo de Agua),82.33,18.7,-95.5,79,0,10.27
Corn Island,82.02,12.17,-83.04,81,65,13.76
Khovu-Aksy,53.71,51.13,93.6,87,100,0.63
Torrington,69.76,41.8,-73.12,81,2,5.99
Arraial do Cabo,73.24,-22.97,-42.03,69,12,3.98
Los Llanos de Aridane,69.8,28.66,-17.92,77,20,13.87
Kautokeino,49.98,69.01,23.04,76,0,8.97
Lavrentiya,50.72,65.58,-171.0,62,10,8.81
Grand Gaube,68.0,-20.01,57.66,82,0,4.0
Mount Gambier,53.6,-37.83,140.77,76,0,12.75
Berbera,90.9,10.44,45.01,40,79,26.62
Kushima,78.08,31.46,131.23,78,75,12.75
Hamilton,73.99,39.18,-84.53,60,20,6.93
Frontera,92.44,26.93,-101.45,23,0,11.92
Igarka,59.65,67.47,86.58,70,53,15.32
Hefei,77.0,31.86,117.28,94,40,4.47
Fare,79.97,-16.7,-151.02,77,100,9.98
Pevek,45.09,69.7,170.31,68,11,5.28
Ancud,37.13,-41.87,-73.82,100,100,2.24
Huarmey,62.11,-10.07,-78.15,84,0,6.24
Margate,61.59,51.38,1.39,79,100,7.09
Mil'kovo,77.02,54.72,158.62,57,19,2.35
Tarquinia,59.0,42.25,11.76,59,95,11.3
Port Augusta,51.8,-32.5,137.77,87,40,4.7
Chimbote,61.23,-9.09,-78.58,88,12,5.41
Mossendjo,63.43,-2.95,12.73,98,98,2.24
Rocha,38.32,-34.48,-54.33,73,0,11.5
Broome,63.1,42.25,-75.83,77,1,5.82
Ubari,73.62,26.59,12.78,33,0,8.59
Manokwari,83.44,-0.87,134.08,72,49,9.57
San Quintín,70.43,30.48,-115.95,76,4,9.82
New Norfolk,45.91,-42.78,147.06,87,14,1.63
Faanui,79.23,-16.48,-151.75,81,87,14.12
Cabo San Lucas,84.58,22.89,-109.91,69,5,6.93
Boulder City,104.65,35.98,-114.83,9,1,16.11
Saint-Philippe,59.77,-21.36,55.77,68,66,4.7
Berlevåg,46.4,70.86,29.09,75,75,8.05
Khatanga,73.45,71.97,102.5,38,78,12.06
Bethel,71.94,41.37,-73.41,64,20,3.36
Vila Franca do Campo,66.2,37.72,-25.43,82,20,6.93
Lüderitz,55.4,-26.65,15.16,66,0,13.87
Lompoc,58.87,34.64,-120.46,77,20,11.41
Belaya Gora,69.93,68.53,146.42,43,100,11.92
Zaysan,71.96,47.47,84.87,41,0,7.34
Valkeala,50.41,60.94,26.8,93,0,4.7
Denpasar,82.4,-8.65,115.22,88,20,20.8
Comodoro Rivadavia,33.8,-45.87,-67.5,64,0,9.17
Ilulissat,44.6,69.22,-51.1,87,100,6.93
Kahului,80.01,20.89,-156.47,45,40,25.28
Bagdarin,71.82,54.43,113.6,67,35,4.5
Nhulunbuy,80.6,-12.23,136.77,57,75,19.46
Balma,62.6,43.61,1.5,59,73,6.93
Carnarvon,73.4,-24.87,113.63,73,75,12.75
Korla,82.11,41.76,86.15,19,45,7.85
Tiksi,41.94,71.69,128.87,94,100,7.83
Vardø,46.4,70.37,31.11,93,75,6.93
Alofi,75.2,-19.06,-169.92,60,75,19.46
Itarema,75.18,-2.92,-39.92,78,25,10.47
Keffi,73.4,8.85,7.87,88,75,3.36
Tocopilla,57.88,-22.09,-70.2,62,0,4.61
Ridgecrest,97.92,35.62,-117.67,4,1,23.04
Terney,67.62,45.05,136.61,71,49,5.77
Chunhuhub,76.62,19.55,-88.68,78,97,4.92
Hobart,48.63,-42.88,147.33,70,75,6.93
Ca Mau,87.73,9.18,105.15,67,90,9.26
Aklavik,69.8,68.22,-135.01,37,75,6.93
Igrim,59.56,63.19,64.42,55,61,5.08
Bellavista,69.76,-7.06,-76.59,95,56,1.28
Provideniya,50.0,64.38,-173.3,76,90,11.18
Forsytheganj,49.82,52.63,29.73,91,21,9.91
East London,57.61,-33.02,27.91,44,0,27.4
Sol'-Iletsk,78.85,51.16,54.99,57,0,11.45
Nanortalik,43.84,60.14,-45.24,93,100,3.87
Mahébourg,68.0,-20.41,57.7,88,20,5.82
Bambous Virieux,68.0,-20.34,57.76,88,20,5.82
Iquitos,75.07,-3.75,-73.25,83,59,2.21
Port Lincoln,58.17,-34.73,135.87,64,0,10.69
Marrakesh,75.2,31.63,-8.01,64,20,5.82
